Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
pelleport,229524.0,0.049331864923488795,66.58699808795411,66.58699808795411,33.29349904397706,1,3bis,nan,nan,nan,nan,1344.3316580072026,4652652.0,2.36,1.48,0.66,0.01,0.16,4.5,8.21,20.46,40.01,31.85,29.07,31.62,34.41,34.16,38.75,38.7,38.39,37.43,38.51,29.29,16.060000000000002,11.18,5.779999999999999,6.98,304
porte des lilas,1552508.0,0.3336823815750673,660.1135951661631,330.05679758308156,165.02839879154078,2,3bis,11,nan,nan,nan,1344.3316580072026,4652652.0,5.220000000000001,1.8599999999999999,0.2,0.03,0.3,5.02,9.8,21.0,30.490000000000002,28.3,27.79,28.619999999999997,31.310000000000002,32.54,34.02,36.32,39.7,48.95,41.3,31.52,19.11,11.48,8.44,6.619999999999999,98
saint-fargeau,472258.0,0.10150297077881604,162.19118559900681,162.19118559900681,81.09559279950341,1,3bis,nan,nan,nan,nan,1344.3316580072026,4652652.0,2.49,0.81,0.12,0.0,0.03,4.89,11.25,27.669999999999998,44.43,39.69,33.230000000000004,33.38,32.7,34.54,35.879999999999995,35.01,33.31,35.84,35.3,25.36,15.76,8.66,5.3100000000000005,4.359999999999999,298
gambetta,2398362.0,0.5154827827226278,1570.9933534743202,785.4966767371601,392.74833836858005,2,3,3bis,nan,nan,nan,1344.3316580072026,4652652.0,4.98,2.09,0.15,0.0,0.0,5.32,9.23,18.529999999999998,36.89,35.160000000000004,29.05,31.26,32.98,32.03,35.45,36.4,37.17,38.230000000000004,36.230000000000004,29.76,18.33,12.12,10.21,8.37,42
