Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
belleville,3657219.0,0.06439889301521678,2329.793583535109,1164.8967917675545,582.4483958837773,2,2,11,nan,nan,nan,19869.740198164607,56790091.08333333,7.73,3.5599999999999996,0.12,0.0,0.0,4.47,7.210000000000001,14.32,24.099999999999998,26.81,28.22,30.46,32.41,33.85,35.54,38.84,39.879999999999995,41.62,37.49,32.01,21.3,14.72,13.35,11.969999999999999,12
colonel fabien,3043606.0,0.05359396229060166,961.1504854368932,961.1504854368932,480.5752427184466,1,2,nan,nan,nan,nan,19869.740198164607,56790091.08333333,7.43,3.17,0.16,0.0,0.02,3.23,7.47,16.69,28.21,27.25,25.63,28.57,32.04,30.72,32.24,35.77,39.02,45.1,41.33,34.81,22.89,15.25,12.2,10.86,104
menilmontant,2847264.0,0.05013663379799739,885.6492718446602,885.6492718446602,442.8246359223301,1,2,nan,nan,nan,nan,19869.740198164607,56790091.08333333,13.64,6.0600000000000005,0.25,,0.0,5.4399999999999995,9.84,17.15,27.6,26.51,23.93,26.009999999999998,28.880000000000003,30.42,30.9,32.69,34.55,37.85,37.05,33.65,24.1,18.15,17.53,17.79,118
blanche,2167570.0,0.03816810219267522,628.0546116504854,628.0546116504854,314.0273058252427,1,2,nan,nan,nan,nan,19869.740198164607,56790091.08333333,16.8,7.779999999999999,0.19,0.0,0.03,5.05,6.48,10.56,22.31,21.490000000000002,17.39,20.130000000000003,24.23,26.04,29.47,34.19,37.46,41.29,41.39,36.88,27.88,21.15,27.09,24.68,163
philippe auguste,1262653.0,0.02223368506571319,385.9083181542198,385.9083181542198,192.9541590771099,1,2,nan,nan,nan,nan,19869.740198164607,56790091.08333333,5.48,2.24,0.16,0.0,0.02,3.2600000000000002,5.99,14.16,28.02,26.95,25.43,29.52,32.95,33.15,33.32,36.68,41.25,49.12,42.83,32.67,21.55,13.32,12.08,9.82,256
monceau,1148677.0,0.020226715225979134,365.0400972053463,365.0400972053463,182.52004860267314,1,2,nan,nan,nan,nan,19869.740198164607,56790091.08333333,2.91,1.19,0.15000000000000002,0.0,0.16999999999999998,0.9199999999999999,1.87,6.95,17.830000000000002,19.45,19.79,23.34,33.85,29.13,31.56,39.02,48.870000000000005,62.67,65.78,47.89,22.54,11.59,7.5200000000000005,5.0,268
place clichy,2580966.0,0.045447470690136965,1680.3415961305925,840.1707980652963,420.0853990326481,2,2,13,nan,nan,nan,19869.740198164607,56790091.08333333,13.84,5.13,0.13,0.0,0.06,3.44,6.390000000000001,11.84,24.68,23.61,20.12,23.259999999999998,27.53,28.33,30.26,34.37,37.230000000000004,41.68,40.480000000000004,38.04,26.060000000000002,20.67,21.62,21.259999999999998,33
la chapelle,4855531.0,0.0854996163481237,1618.826561552456,1618.826561552456,809.413280776228,1,2,nan,nan,nan,nan,19869.740198164607,56790091.08333333,4.04,1.16,0.0,0.0,0.0,4.1,6.93,13.36,19.0,20.240000000000002,20.4,23.86,27.919999999999998,31.880000000000003,34.17,37.97,43.28,49.120000000000005,47.07,40.78,31.32,21.509999999999998,13.469999999999999,8.41,38
jaures,1351820.3333333333,0.023803806395550287,1461.2876132930514,487.0958710976838,243.5479355488419,3,2,5,7bis,nan,nan,19869.740198164607,56790091.08333333,11.44,4.55,0.18,0.24,0.31,4.65,7.71,14.52,24.650000000000002,24.24,22.55,24.560000000000002,28.62,28.79,30.37,34.15,37.88,44.07,41.76,36.84,24.98,20.83,16.9,15.14,52
avron,1345521.0,0.02369288328883983,411.648136835675,411.648136835675,205.8240684178375,1,2,nan,nan,nan,nan,19869.740198164607,56790091.08333333,7.15,2.7,0.13,0.0,0.01,2.76,5.69,14.08,29.15,30.25,24.93,29.3,32.769999999999996,33.81,34.6,35.92,35.94,39.07,39.589999999999996,37.36,25.67,16.63,11.96,10.53,249
