Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
pasteur,1513143.0,0.029299472776640658,1109.536688902365,554.7683444511825,277.38417222559127,2,6,12,nan,nan,nan,20604.393315690362,51644035.08333333,7.42,2.12,0.13,0.0,0.0,2.4699999999999998,6.3,15.74,32.86,28.46,26.48,28.88,34.01,30.06,33.11,35.89,38.08,43.5,44.12,35.49,20.419999999999998,12.83,11.1,10.559999999999999,105
raspail,619178.5,0.011989351703461734,454.8451730418943,227.42258652094716,113.71129326047358,2,4,6,nan,nan,nan,20604.393315690362,51644035.08333333,9.24,3.58,0.24,0.03,0.02,1.32,3.6799999999999997,9.18,19.93,19.990000000000002,20.89,26.23,34.629999999999995,30.68,31.08,37.85,43.76,46.989999999999995,48.120000000000005,39.48,25.6,16.78,16.41,14.3,259
boissiere,1224181.0,0.023704208976402588,458.0,458.0,229.0,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,5.8999999999999995,1.7200000000000002,0.13,0.0,0.01,1.7400000000000002,4.85,11.059999999999999,20.82,20.72,21.43,25.39,32.12,31.27,33.26,37.22,42.29,51.64,54.97,40.23,23.479999999999997,14.620000000000001,13.68,11.4,260
nation,1512699.25,0.029290880303196553,1605.467995169082,401.3669987922705,200.68349939613526,4,1,2,6,9.0,nan,20604.393315690362,51644035.08333333,15.32,3.51,0.3,0.04,0.35,9.99,12.07,27.31,55.11,46.58,43.21,53.22,62.04,61.6,66.01,73.3,78.47,90.17,88.67,79.27,49.96,33.56,27.09,22.849999999999998,20
bir-hakeim,3362908.0,0.06511706520556688,1031.308859223301,1031.308859223301,515.6544296116505,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,14.59,3.12,0.1,0.0,0.0,1.83,3.45,7.66,15.41,14.61,14.55,18.53,27.56,24.340000000000003,26.18,33.64,45.31,53.66,54.97,41.129999999999995,27.259999999999998,22.15,23.28,26.64,90
denfert-rochereau,1271979.5,0.024629746648330657,894.8475241545893,447.42376207729467,223.71188103864733,2,4,6,nan,nan,nan,20604.393315690362,51644035.08333333,18.02,4.08,0.2,0.03,0.14,8.4,13.11,27.91,51.48,45.78,45.660000000000004,53.44,58.71,60.199999999999996,65.31,72.41,79.06,86.28,85.6,75.27,49.19,36.23,32.74,30.73,133
passy,2080548.0,0.040286317609435573,822.7030378177309,822.7030378177309,411.35151890886544,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,5.4,1.59,0.06,0.0,0.0,1.76,5.0,12.82,29.07,26.84,24.28,27.41,33.71,32.05,31.59,35.88,39.44,43.78,45.62,42.06,24.23,14.030000000000001,12.850000000000001,10.5,171
saint-jacques,1407837.0,0.027260398954657594,481.89600967351873,481.89600967351873,240.94800483675937,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,5.38,2.27,0.1,0.02,0.0,2.42,7.1899999999999995,16.47,31.849999999999998,30.14,27.16,30.4,32.18,32.08,33.21,35.96,38.48,41.29,41.55,37.38,22.28,13.89,10.07,8.24,245
nationale,1320290.0,0.02556519834032269,606.4888217522658,606.4888217522658,303.2444108761329,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,4.38,1.58,0.09,0.0,0.0,6.2,11.27,21.37,35.87,32.46,29.29,30.77,33.25,33.93,33.79,34.85,34.87,39.32,38.37,30.23,18.9,11.92,9.93,7.35,251
trocadero,2642067.0,0.05115918993813583,1593.0285194174758,796.5142597087379,398.25712985436894,2,6,9,nan,nan,nan,20604.393315690362,51644035.08333333,15.12,3.97,0.08,0.0,0.0,1.67,2.5700000000000003,6.37,14.71,13.75,13.42,17.98,25.83,25.85,27.12,33.53,42.58,50.1,51.67,43.26,31.66,26.45,26.91,25.369999999999997,28
charles de gaulle-etoile,1430554.3333333333,0.027700281959474635,8118.102478295982,2706.034159431994,1353.017079715997,3,1,2,6,nan,nan,20604.393315690362,51644035.08333333,0.7,0.02,0.0,0.0,0.060000000000000005,2.8899999999999997,10.34,16.49,13.120000000000001,12.57,13.68,16.64,20.38,23.85,26.95,32.4,49.55,69.36,67.0,53.03,37.28,21.659999999999997,10.64,1.4,47
bercy,1942106.0,0.037605620801438124,1407.7591050898232,703.8795525449116,351.9397762724558,2,6,14,nan,nan,nan,20604.393315690362,51644035.08333333,,,,,,6.98,10.94,2.7399999999999998,30.490000000000002,0.6599999999999999,33.56,0.43,18.94,14.51,28.84,2.37,109.81,104.32,67.22999999999999,40.18,13.57,0.11,14.23,0.09,61
daumesnil,1817011.5,0.03518337591297915,1185.2586102719033,592.6293051359517,296.3146525679758,2,6,8,nan,nan,nan,20604.393315690362,51644035.08333333,5.0600000000000005,2.01,0.15,0.0,0.0,2.99,6.609999999999999,16.98,36.82,33.57,29.66,32.06,33.769999999999996,33.29,34.81,36.129999999999995,36.65,38.53,37.0,32.93,21.42,12.49,9.32,7.6899999999999995,70
glaciere,3005750.0,0.05820130040477844,995.8055555555555,995.8055555555555,497.90277777777777,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,3.88,1.51,0.03,0.0,0.0,2.5300000000000002,7.89,18.16,33.32,30.259999999999998,26.8,29.22,32.3,32.839999999999996,34.08,36.7,42.88,44.370000000000005,40.59,34.51,20.0,12.709999999999999,8.94,6.46,107
dupleix,2028963.0,0.03928746072467121,780.7982989064399,780.7982989064399,390.39914945321993,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,6.34,2.44,0.09,0.0,0.0,1.93,5.65,16.23,38.54,30.91,25.33,27.77,32.18,31.77,31.77,34.6,38.510000000000005,40.55,39.83,34.67,23.27,14.18,12.46,10.98,176
quai de la gare,1735465.0,0.03360436490292899,675.0676328502416,675.0676328502416,337.5338164251208,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,18.63,6.49,0.25,0.0,0.0,6.63,8.2,8.84,13.25,12.76,14.36,17.240000000000002,22.12,22.76,25.15,29.740000000000002,38.85,52.51,58.02,44.82,29.44,20.05,24.06,25.85,202
cambronne,1636566.0,0.03168935187498848,620.6095931997571,620.6095931997571,310.30479659987856,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,6.51,3.13,0.12,0.0,,2.62,7.4,16.86,37.62,30.32,25.26,28.52,29.83,30.580000000000002,31.96,33.65,37.21,40.42,41.84,35.38,22.91,14.33,12.93,10.530000000000001,218
bel air,1605573.0,0.031089224484671493,527.990931076179,527.990931076179,263.9954655380895,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,3.68,1.33,0.09,0.0,0.01,2.67,8.17,20.6,40.59,32.97,27.59,29.37,32.96,32.28,35.81,37.04,40.14,39.99,37.76,31.810000000000002,19.630000000000003,12.45,7.4399999999999995,5.57,220
corvisart,1570331.0,0.030406822345815897,540.9395770392749,540.9395770392749,270.46978851963746,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,6.21,2.75,0.1,0.01,0.0,2.92,8.07,18.11,39.56,33.24,27.42,29.41,33.03,31.52,32.769999999999996,34.5,37.1,40.78,37.66,31.12,19.689999999999998,12.44,11.5,10.07,226
sevres-lecourbe,1257040.0,0.024340468322655805,470.3408262454435,470.3408262454435,235.17041312272175,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,6.26,2.7199999999999998,0.16,0.01,0.01,1.65,4.75,14.28,31.57,26.52,24.560000000000002,28.810000000000002,34.74,31.63,32.96,35.32,39.3,42.81,42.879999999999995,37.37,23.22,14.39,13.49,10.620000000000001,258
kleber,724215.0,0.014023207110586914,294.9512195121951,294.9512195121951,147.47560975609755,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,10.01,4.1899999999999995,0.23,0.06,0.44,5.28,4.11,10.73,15.93,14.54,13.92,19.55,26.08,21.91,25.64,34.06,38.07,56.480000000000004,63.4,49.730000000000004,30.57,17.43,19.08,18.61,293
montparnasse-bienvenue,5101806.0,0.09878790438755754,8840.644430992736,2210.161107748184,1105.080553874092,4,4,6,12,13.0,nan,20604.393315690362,51644035.08333333,5.71,0.26,0.01,0.04,0.24,3.15,13.07,24.17,21.87,15.02,16.450000000000003,19.23,21.88,22.18,22.86,26.18,36.839999999999996,55.5,62.72,49.65,31.049999999999997,21.54,16.830000000000002,13.49,4
place d'italie,2373032.3333333335,0.04594978547869439,2336.998188405797,778.9993961352657,389.49969806763283,3,5,6,7,nan,nan,20604.393315690362,51644035.08333333,6.1899999999999995,2.1,0.11,0.01,0.04,3.22,5.42,11.46,24.16,22.939999999999998,21.98,26.12,30.9,33.29,36.04,39.4,41.98,45.58,43.61,37.38,25.89,15.9,15.0,11.219999999999999,14
la motte-picquet-grenelle,1705902.6666666667,0.0330319399697178,1715.570995145631,571.856998381877,285.9284991909385,3,6,8,10,nan,nan,20604.393315690362,51644035.08333333,7.61,2.58,0.12,0.0,0.0,2.2600000000000002,4.19,11.42,29.55,26.95,23.58,26.509999999999998,30.98,32.16,33.61,36.51,38.559999999999995,41.22,42.93,39.35,26.05,16.5,14.71,12.64,34
chevaleret,2748696.0,0.0532238814330576,883.0495169082126,883.0495169082126,441.5247584541063,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,8.57,1.7000000000000002,0.08,0.0,0.0,3.41,7.62,16.1,20.72,21.35,21.55,25.6,30.32,30.799999999999997,35.24,36.9,41.88,46.59,44.45,35.84,22.5,19.240000000000002,14.969999999999999,14.620000000000001,124
dugommier,1725412.0,0.033409705442571595,579.7338173018754,579.7338173018754,289.8669086509377,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,6.73,1.99,0.11,0.0,0.0,3.7,8.66,20.59,39.74,32.76,26.43,28.619999999999997,30.55,31.38,32.65,33.92,34.93,39.9,39.09,32.65,20.11,13.03,11.82,10.61,204
edgar quinet,1349178.0,0.02612456594111891,499.0381355932203,499.0381355932203,249.51906779661016,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,19.41,4.6,0.07,0.0,0.01,1.48,3.2199999999999998,7.5,16.37,15.05,13.83,16.59,23.29,24.759999999999998,29.47,33.05,34.83,37.36,40.480000000000004,38.07,32.29,30.77,38.62,38.88,248
picpus,931602.0,0.018038908046142364,344.6150121065375,344.6150121065375,172.30750605326875,1,6,nan,nan,nan,nan,20604.393315690362,51644035.08333333,3.7199999999999998,1.6400000000000001,0.16,0.0,0.01,3.1399999999999997,7.97,18.19,35.56,31.439999999999998,28.36,30.91,36.72,33.62,35.39,36.85,40.67,41.21,38.47,33.26,18.240000000000002,10.59,7.25,6.609999999999999,286
