Station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00
falguiere,1134.157894736842,567.078947368421,12,nan,nan,nan,nan,152539.64188596493,5.3,2.12,0.27,0.0,0.02,2.41,3.58,11.84,30.11,27.44,25.48,28.67,33.84,31.02,34.59,37.379999999999995,41.54,44.64,45.16,37.5,21.46,14.14,12.27,9.23
concorde,3212.175438596491,1606.0877192982455,1,8,12,nan,nan,152539.64188596493,10.3,2.87,0.08,0.04,0.02,2.15,1.53,3.05,5.02,6.51,9.05,14.799999999999999,23.1,23.560000000000002,29.2,40.620000000000005,54.21,66.58,69.7,54.94,27.15,19.3,18.36,17.88
pasteur,3153.8684210526317,1576.9342105263158,6,12,nan,nan,nan,152539.64188596493,7.42,2.12,0.13,0.0,0.0,2.4699999999999998,6.3,15.74,32.86,28.46,26.48,28.88,34.01,30.06,33.11,35.89,38.08,43.5,44.12,35.49,20.419999999999998,12.83,11.1,10.559999999999999
abbesses,2277.315789473684,1138.657894736842,12,nan,nan,nan,nan,152539.64188596493,10.18,3.2,0.02,0.0,,1.31,4.34,10.27,24.71,23.23,19.26,23.72,27.0,29.130000000000003,34.04,40.120000000000005,43.49,45.59,43.24,37.0,23.36,19.02,19.36,18.35
trinite-d'estienne d'orves,3454.7894736842104,1727.3947368421052,12,nan,nan,nan,nan,152539.64188596493,12.18,6.56,0.22,0.0,0.0,1.1,2.77,6.27,13.19,13.05,11.91,16.19,22.46,26.15,30.97,38.18,44.55,51.19,54.76,49.49,33.64,26.849999999999998,21.44,16.85
saint-georges,1449.1052631578948,724.5526315789474,12,nan,nan,nan,nan,152539.64188596493,9.83,3.71,0.1,0.0,0.01,2.0,5.9399999999999995,11.59,24.439999999999998,24.79,22.689999999999998,25.86,26.88,27.47,32.55,37.65,38.83,47.79,42.879999999999995,34.41,21.11,16.17,26.32,17.0
assemblee nationale,1602.2631578947369,801.1315789473684,12,nan,nan,nan,nan,152539.64188596493,14.18,8.04,0.1,0.01,0.0,3.0300000000000002,3.32,6.54,13.030000000000001,11.72,11.08,16.740000000000002,27.939999999999998,25.49,27.259999999999998,35.53,47.379999999999995,65.3,64.65,41.95,25.79,16.8,15.93,18.23
saint-lazare,25432.673684210524,12716.336842105262,3,9,12,13.0,14.0,152539.64188596493,8.620000000000001,0.1,0.01,0.01,0.12,3.15,9.6,20.07,20.19,15.33,13.56,16.27,20.32,22.21,23.72,29.05,39.08,57.36,63.81,51.34,34.47,21.65,16.09,13.86
marcadet-poissonniers,4708.710526315789,2354.3552631578946,4,12,nan,nan,nan,152539.64188596493,4.49,1.81,0.1,0.0,0.0,3.48,8.0,16.62,27.65,25.64,22.7,26.28,31.18,33.69,35.76,37.81,39.17,43.07,42.94,37.58,27.0,16.68,10.82,7.56
convention,7157.1578947368425,3578.5789473684213,12,nan,nan,nan,nan,152539.64188596493,4.27,1.32,0.07,0.0,0.0,2.02,6.01,17.82,37.66,32.43,27.23,29.88,32.47,34.08,36.46,38.309999999999995,38.63,37.75,38.459999999999994,33.51,20.97,13.06,9.799999999999999,7.74
pigalle,3295.6315789473683,1647.8157894736842,2,12,nan,nan,nan,152539.64188596493,19.27,8.09,0.09,0.0,0.0,4.630000000000001,6.68,10.879999999999999,21.03,20.56,17.25,19.77,24.12,25.73,28.77,34.97,37.660000000000004,39.980000000000004,40.120000000000005,36.95,26.15,21.85,28.689999999999998,26.75
jules joffrin,5607.0,2803.5,12,nan,nan,nan,nan,152539.64188596493,6.03,2.26,0.09,0.0,0.0,3.21,7.6,18.61,42.5,40.0,30.58,32.49,31.97,32.56,33.78,35.03,34.379999999999995,33.04,33.57,30.13,19.17,11.879999999999999,10.66,10.43
corentin celton,5238.315789473684,2619.157894736842,12,nan,nan,nan,nan,152539.64188596493,3.0999999999999996,0.79,0.04,0.0,0.01,3.64,9.059999999999999,22.0,37.239999999999995,31.8,28.19,29.15,31.55,32.19,36.28,37.43,37.74,42.6,41.89,31.630000000000003,18.52,10.91,8.34,5.89
lamarck-caulaincourt,3504.4210526315787,1752.2105263157894,12,nan,nan,nan,nan,152539.64188596493,6.43,2.3600000000000003,0.04,0.01,0.0,1.96,5.6,14.9,37.03,36.879999999999995,26.91,29.45,31.15,32.88,35.24,37.72,37.64,38.45,38.019999999999996,31.75,20.68,12.22,12.14,10.5
notre-dame-des-champs,1661.578947368421,830.7894736842105,12,nan,nan,nan,nan,152539.64188596493,7.29,2.36,0.11,0.0,0.09,0.95,1.8699999999999999,6.539999999999999,18.2,19.23,20.4,27.53,44.07,29.55,29.43,36.7,46.97,51.64,51.2,38.019999999999996,25.48,14.76,14.98,12.61
