Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
charles michels,3079569.0,0.09685119838944527,1021.539028887523,1021.539028887523,510.7695144437615,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,5.92,1.33,0.0,0.0,0.0,2.13,4.62,12.87,24.89,22.51,21.05,23.72,28.810000000000002,32.07,33.94,40.53,45.66,47.870000000000005,46.68,41.379999999999995,27.439999999999998,15.18,11.9,9.52,102
maubert-mutualite,1280387.0,0.040267652828128435,438.5248786407767,438.5248786407767,219.26243932038835,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,11.99,4.65,0.11,0.0,0.0,1.74,3.4699999999999998,7.47,18.92,18.63,18.13,21.92,30.310000000000002,29.73,32.68,38.29,42.59,47.56,47.37,42.230000000000004,23.810000000000002,18.689999999999998,20.06,19.6,254
cardinal lemoine,1121854.0,0.03528185415491347,395.7865372953305,395.7865372953305,197.89326864766525,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,17.5,7.5600000000000005,0.23,0.01,0.0,2.41,3.44,9.200000000000001,20.56,18.939999999999998,16.89,19.58,26.65,26.42,27.7,34.04,39.43,46.010000000000005,47.78,39.64,26.09,20.91,22.98,26.009999999999998,273
vaneau,725826.0,0.02282693387360942,244.36330275229358,244.36330275229358,122.18165137614679,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,3.77,1.25,0.21000000000000002,0.01,0.01,1.19,3.7600000000000002,9.82,19.18,21.54,19.7,25.71,31.98,32.03,33.05,40.15,45.71,53.83,56.12,46.65,26.09,11.98,8.98,7.24,292
eglise d'auteuil,124941.0,0.003929343871813127,42.46816976127321,42.46816976127321,21.234084880636605,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,6.53,2.54,0.2,0.05,0.01,3.5700000000000003,5.9,13.31,28.45,23.84,27.39,29.82,37.64,32.55,32.69,36.53,45.94,48.51,40.730000000000004,35.75,19.44,11.67,9.04,7.96,305
la motte-picquet-grenelle,1705902.6666666667,0.05364994828900312,1715.570995145631,571.856998381877,285.9284991909385,3,6,8,10,nan,nan,11268.155484765242,31796911.666666668,7.61,2.58,0.12,0.0,0.0,2.2600000000000002,4.19,11.42,29.55,26.95,23.58,26.509999999999998,30.98,32.16,33.61,36.51,38.559999999999995,41.22,42.93,39.35,26.05,16.5,14.71,12.64,34
sevres-babylone,1696252.0,0.05334643872908621,1213.4432989690722,606.7216494845361,303.36082474226805,2,10,12,nan,nan,nan,11268.155484765242,31796911.666666668,4.71,1.28,0.07,0.01,0.0,0.78,1.6400000000000001,4.18,11.129999999999999,12.65,12.75,21.65,28.06,29.28,31.21,39.67,51.129999999999995,59.22,66.54,57.85,35.269999999999996,12.25,9.71,8.96,88
jussieu,1444821.0,0.045439035562520824,1019.4053398058253,509.70266990291265,254.85133495145632,2,7,10,nan,nan,nan,11268.155484765242,31796911.666666668,12.91,5.470000000000001,0.09,0.0,0.0,1.0,1.85,4.98,12.280000000000001,12.96,13.86,18.240000000000002,28.29,26.88,28.96,38.64,47.61,62.35,61.449999999999996,41.980000000000004,26.16,18.39,17.92,17.77,114
gare d'austerlitz,3159271.5,0.09935780974955272,2264.443367655966,1132.221683827983,566.1108419139915,2,5,10,nan,nan,nan,11268.155484765242,31796911.666666668,4.449999999999999,1.9700000000000002,0.12,0.01,0.05,5.74,12.78,30.27,47.870000000000005,36.12,23.32,23.67,27.86,25.71,27.07,26.1,30.28,39.26,42.61,31.36,23.11,15.32,12.03,12.92,17
duroc,1322532.0,0.04159309601713416,797.289872650091,398.6449363250455,199.32246816252274,2,10,13,nan,nan,nan,11268.155484765242,31796911.666666668,7.76,2.37,0.1,0.0,0.01,1.1600000000000001,3.54,12.57,22.14,22.03,20.54,24.15,30.66,28.93,32.43,37.32,44.43,48.21,48.629999999999995,44.519999999999996,27.119999999999997,16.09,13.55,11.719999999999999,130
avenue emile zola,1041233.0,0.032746356341630034,352.8704503392967,352.8704503392967,176.43522516964836,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,6.4799999999999995,2.01,0.1,0.0,0.04,1.89,4.51,16.47,34.44,32.31,28.240000000000002,29.42,33.730000000000004,32.72,35.36,39.77,41.879999999999995,39.61,37.35,34.48,20.14,12.02,9.06,7.9799999999999995,281
mirabeau,1001302.0,0.031490542556360426,341.8173374613003,341.8173374613003,170.90866873065016,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,4.75,1.3900000000000001,0.0,0.0,0.0,2.3,6.77,18.25,37.0,33.33,29.42,30.33,34.87,32.79,35.86,37.74,36.84,37.51,36.58,33.2,20.08,12.96,9.92,8.09,285
chardon-lagache,482053.0,0.015160371706958753,176.6159147869674,176.6159147869674,88.3079573934837,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,3.67,1.7200000000000002,0.06,0.01,0.0,1.92,6.48,15.99,34.22,31.580000000000002,28.07,29.990000000000002,36.7,34.0,39.6,38.07,42.43,41.120000000000005,36.93,32.04,20.21,13.43,6.11,5.62,297
odeon,1739245.5,0.05469856689960508,1208.9926873857405,604.4963436928703,302.2481718464351,2,4,10,nan,nan,nan,11268.155484765242,31796911.666666668,14.77,4.859999999999999,0.12,0.0,0.01,1.06,1.99,4.46,9.27,9.77,10.969999999999999,16.310000000000002,24.37,26.33,30.66,41.1,47.989999999999995,54.42,55.2,48.15,28.24,24.63,23.24,22.04,80
boulogne-jean jaures,2700354.0,0.08492504015196024,902.312,902.312,451.156,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,7.97,4.66,0.05,0.0,0.07,2.3,6.71,18.2,39.61,31.75,24.99,28.369999999999997,31.2,31.49,32.8,34.519999999999996,36.57,42.51,43.51,36.27,19.23,10.219999999999999,8.49,8.48,128
boulogne-pont de saint-cloud,2182738.0,0.06864622649149311,753.8291333743085,753.8291333743085,376.91456668715426,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,9.690000000000001,4.1899999999999995,0.11,0.01,0.0,2.55,6.96,19.55,36.620000000000005,31.490000000000002,24.509999999999998,25.97,29.34,29.08,30.16,33.91,36.21,44.14,47.339999999999996,35.87,21.0,11.85,9.34,10.09,161
cluny la sorbonne,1261818.0,0.03968366529516729,39.38516746411483,39.38516746411483,19.692583732057415,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,,,,,,0.01,0.68,2.7899999999999996,15.16,14.450000000000001,18.84,19.35,43.949999999999996,19.57,46.17,106.77,65.06,107.52,27.17,1.4000000000000001,3.71,3.7,3.7,,257
mabillon,1195051.0,0.03758387017355511,419.9593693147362,419.9593693147362,209.9796846573681,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,16.28,6.5600000000000005,0.29000000000000004,0.0,0.0,1.75,2.59,4.67,10.83,11.41,12.66,18.2,25.69,26.380000000000003,29.85,38.019999999999996,44.7,51.88,53.89,47.12,26.78,20.4,23.560000000000002,26.48,263
segur,1100151.0,0.03459930359064745,358.905055487053,358.905055487053,179.4525277435265,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,6.24,2.21,0.12,0.0,0.0,1.13,4.27,13.27,30.11,28.509999999999998,26.8,29.509999999999998,34.52,33.89,36.17,40.76,40.400000000000006,43.46,43.92,35.32,21.59,11.46,8.33,8.01,278
javel-andre citroen,1589561.0,0.04999104996937071,1321.8719806763286,1321.8719806763286,660.9359903381643,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,3.59,1.06,0.1,0.0,0.01,3.76,7.13,16.08,35.94,32.47,28.82,30.34,31.810000000000002,31.02,34.11,35.69,37.54,44.98,47.84,34.26,19.04,10.379999999999999,8.05,5.99,222
michel-ange-auteuil,756025.0,0.023776680198553873,512.3359659781288,256.1679829890644,128.0839914945322,2,9,10,nan,nan,nan,11268.155484765242,31796911.666666668,6.29,2.0,0.2,0.0,0.03,2.74,4.9,14.32,30.82,27.91,25.97,30.17,34.66,32.93,34.92,37.63,40.86,43.35,40.46,35.29,21.5,11.78,11.57,9.71,234
michel-ange-molitor,710276.0,0.02233789266850706,525.6844984802432,262.8422492401216,131.4211246200608,2,9,10,nan,nan,nan,11268.155484765242,31796911.666666668,6.789999999999999,2.73,0.08,0.01,0.01,2.75,4.65,14.95,31.659999999999997,28.71,26.0,29.53,37.4,31.810000000000002,32.38,37.019999999999996,39.89,42.74,38.67,35.84,19.83,11.89,10.72,13.92,243
porte d'auteuil,375748.0,0.011817122490984057,115.25264467952707,115.25264467952707,57.62632233976353,1,10,nan,nan,nan,nan,11268.155484765242,31796911.666666668,12.89,5.97,0.52,0.07,1.01,5.86,5.47,8.87,15.93,15.1,17.09,23.13,29.86,27.57,27.95,36.19,48.36,52.5,40.94,44.86,23.439999999999998,14.74,15.23,26.42,300
