Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
opera,1731277.0,0.012821891823559441,2049.558645707376,683.186215235792,341.593107617896,3,3,7,8,nan,nan,44469.853454053715,135025082.4,12.37,2.36,0.04,0.0,0.0,1.29,1.49,2.58,4.46,5.6899999999999995,8.51,13.75,20.39,23.32,28.41,38.209999999999994,47.86,58.37,66.31,54.58,34.39,24.68,27.38,23.59,32
saint-denis-universite,3569990.0,0.026439458036575877,1306.0471869328494,1306.0471869328494,653.0235934664247,1,13,nan,nan,nan,nan,44469.853454053715,135025082.4,1.95,0.42000000000000004,0.01,0.0,0.0,18.07,35.339999999999996,48.73,45.31,35.71,29.7,29.01,28.689999999999998,28.240000000000002,28.65,30.33,28.9,31.509999999999998,27.77,18.64,13.6,8.89,6.17,4.359999999999999,74
pereire,3130190.0,0.023182285426992636,643.1045317220544,643.1045317220544,321.5522658610272,1,3,nan,nan,nan,nan,44469.853454053715,135025082.4,5.96,1.81,0.12,0.0,0.01,2.79,5.109999999999999,12.440000000000001,27.73,28.38,24.66,28.3,32.69,31.83,34.94,38.74,39.32,43.67,45.55,39.33,22.19,12.2,11.969999999999999,10.26,97
les courtilles,2802689.0,0.020756802737563074,1071.2037598544573,1071.2037598544573,535.6018799272287,1,13,nan,nan,nan,nan,44469.853454053715,135025082.4,2.3899999999999997,0.58,0.02,0.0,0.0,11.629999999999999,20.740000000000002,38.1,47.37,38.53,31.619999999999997,28.9,28.29,30.17,30.009999999999998,30.03,31.759999999999998,35.24,31.759999999999998,23.7,16.18,10.77,7.34,4.88,122
porte de saint-ouen,2710638.0,0.0200750701411903,756.0749531542785,756.0749531542785,378.0374765771393,1,13,nan,nan,nan,nan,44469.853454053715,135025082.4,5.48,2.05,0.05,0.0,0.0,4.58,12.18,22.88,29.67,27.990000000000002,25.119999999999997,27.47,29.259999999999998,29.4,32.4,34.06,38.010000000000005,42.89,40.38,34.53,23.47,16.62,12.24,9.27,125
montparnasse-bienvenue,5101806.0,0.03778413543112194,8840.644430992736,2210.161107748184,1105.080553874092,4,4,6,12,13.0,nan,44469.853454053715,135025082.4,5.71,0.26,0.01,0.04,0.24,3.15,13.07,24.17,21.87,15.02,16.450000000000003,19.23,21.88,22.18,22.86,26.18,36.839999999999996,55.5,62.72,49.65,31.049999999999997,21.54,16.830000000000002,13.49,4
porte de clichy,2639248.5,0.0195463572625822,1929.6582125603866,964.8291062801933,482.41455314009664,2,13,14,nan,nan,nan,44469.853454053715,135025082.4,9.95,3.26,0.27,0.06,0.65,11.07,23.21,43.79,58.46,52.56,47.49,51.49,58.94,58.3,61.47,67.67,75.58,92.42999999999999,88.85000000000001,71.86,46.94,32.62,24.38,18.66,29
place clichy,2580966.0,0.019114715237529823,1680.3415961305925,840.1707980652963,420.0853990326481,2,2,13,nan,nan,nan,44469.853454053715,135025082.4,13.84,5.13,0.13,0.0,0.06,3.44,6.390000000000001,11.84,24.68,23.61,20.12,23.259999999999998,27.53,28.33,30.26,34.37,37.230000000000004,41.68,40.480000000000004,38.04,26.060000000000002,20.67,21.62,21.259999999999998,33
gallieni,3899195.0,0.028877560603510505,1261.4925558312655,1261.4925558312655,630.7462779156327,1,3,nan,nan,nan,nan,44469.853454053715,135025082.4,2.49,0.5700000000000001,0.01,0.01,0.04,8.74,15.82,26.08,35.01,35.37,31.68,30.75,31.65,31.94,33.38,34.84,36.6,41.370000000000005,35.019999999999996,27.35,18.41,11.280000000000001,6.96,4.63,60
reaumur-sebastopol,1789772.0,0.013255107630284252,1134.543359611886,567.271679805943,283.6358399029715,2,3,4,nan,nan,nan,44469.853454053715,135025082.4,12.219999999999999,6.0600000000000005,0.28,0.03,0.0,2.44,4.37,8.49,16.080000000000002,16.78,15.26,18.310000000000002,24.38,26.97,29.64,36.59,42.26,52.36,55.02,44.28,29.59,21.11,19.509999999999998,17.92,73
