Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
gare de lyon,9546825.0,0.11064635555494233,5298.853444245003,1766.284481415001,883.1422407075005,3,1,14,,nan,nan,33841.354598383914,86282326.71666667,2.16,0.01,0.0,,0.33999999999999997,1.2000000000000002,10.05,22.63,19.75,17.93,27.47,24.869999999999997,23.83,25.509999999999998,27.259999999999998,34.76,45.22,57.989999999999995,60.21,38.73,27.6,17.4,10.239999999999998,4.8,3
saint-mande-tourelle,3944640.0,0.04571782136744391,1321.8719806763286,1321.8719806763286,660.9359903381643,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,3.59,1.06,0.1,0.0,0.01,3.76,7.13,16.08,35.94,32.47,28.82,30.34,31.810000000000002,31.02,34.11,35.69,37.54,44.98,47.84,34.26,19.04,10.379999999999999,8.05,5.99,58
louvre,1869612.0,0.021668539446547605,654.393115942029,654.393115942029,327.1965579710145,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,14.09,4.62,0.1,0.0,0.02,1.1600000000000001,1.9,4.38,10.59,13.36,11.74,16.1,22.2,24.31,29.11,38.64,47.98,59.32,63.31,49.760000000000005,28.05,19.06,19.83,20.34,192
porte de vincennes,5446602.0,0.06312534915621267,1720.6443236714977,1720.6443236714977,860.3221618357488,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,3.9,1.27,0.1,0.0,0.0,5.48,12.0,22.18,35.339999999999996,33.199999999999996,28.939999999999998,29.869999999999997,32.019999999999996,32.620000000000005,33.489999999999995,35.67,38.04,40.51,38.45,30.06,18.82,12.32,9.06,6.66,25
porte maillot,4138301.0,0.04796232504936179,1781.47286949645,1781.47286949645,890.736434748225,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,2.64,0.06999999999999999,0.02,0.0,0.03,1.79,5.27,13.49,20.72,14.34,14.29,16.98,21.99,24.0,26.1,34.32,45.86,68.87,69.45,51.21,31.13,17.93,11.92,7.54,51
chateau de vincennes,3617738.0,0.04192907328380126,1720.6443236714977,1720.6443236714977,860.3221618357488,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,3.9,1.27,0.1,0.0,0.0,5.48,12.0,22.18,35.339999999999996,33.199999999999996,28.939999999999998,29.869999999999997,32.019999999999996,32.620000000000005,33.489999999999995,35.67,38.04,40.51,38.45,30.06,18.82,12.32,9.06,6.66,71
chatelet,1670158.8,0.019356904983386186,5877.878321256038,1175.5756642512076,587.7878321256038,5,1,4,7,11.0,14.0,33841.354598383914,86282326.71666667,30.17,10.6,0.27,0.04,0.36,7.1899999999999995,5.32,8.82,15.78,15.86,17.48,26.5,37.63,46.019999999999996,55.16,72.78999999999999,92.19,114.31,122.78,105.6,70.85,51.84,47.85,44.6,10
pont de neuilly,4809503.0,0.0557414615833601,1679.7946859903382,1679.7946859903382,839.8973429951691,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,3.2800000000000002,1.22,0.13,0.03,0.02,2.5,5.23,13.45,28.720000000000002,28.939999999999998,25.65,28.080000000000002,33.25,32.33,34.15,36.23,39.03,46.88,51.98,39.18,21.86,11.94,9.25,6.68,41
esplanade de la defense,4708183.0,0.05456717707046427,1954.542270531401,1954.542270531401,977.2711352657005,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,4.46,1.23,0.1,0.0,0.0,2.71,6.11,13.18,25.55,26.78,25.400000000000002,28.0,32.14,28.31,29.83,33.65,38.4,53.99,59.980000000000004,40.35,21.03,11.52,9.6,7.71,43
saint-paul,4295823.0,0.04978798281722971,1332.3979468599034,1332.3979468599034,666.1989734299517,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,9.4,2.99,0.02,0.0,0.0,1.13,2.6799999999999997,7.01,16.7,16.64,14.48,18.89,24.96,27.7,29.63,38.31,49.02,57.6,56.57,49.86,26.4,17.14,16.65,16.189999999999998,46
charles de gaulle-etoile,1430554.3333333333,0.016579923001276704,8118.102478295982,2706.034159431994,1353.017079715997,3,1,2,6,nan,nan,33841.354598383914,86282326.71666667,0.7,0.02,0.0,0.0,0.060000000000000005,2.8899999999999997,10.34,16.49,13.120000000000001,12.57,13.68,16.64,20.38,23.85,26.95,32.4,49.55,69.36,67.0,53.03,37.28,21.659999999999997,10.64,1.4,47
les sablons,3954920.0,0.04583696511786406,1389.524154589372,1389.524154589372,694.762077294686,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,3.67,1.22,0.14,0.0,0.0,1.76,3.66,9.84,24.2,23.73,20.47,23.29,30.23,30.28,33.0,36.85,41.3,54.17,62.1,51.370000000000005,24.310000000000002,10.66,7.529999999999999,6.25,57
la defense,9256802.0,0.10728502988100246,5635.386073880353,5635.386073880353,2817.6930369401766,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,7.07,1.51,0.01,0.0,0.92,7.37,15.51,32.98,57.04,52.43,41.33,48.42,57.0,61.769999999999996,62.75,68.93,79.89,103.14,108.83,84.18,53.23,26.3,14.93,14.4,9
hotel de ville,3625864.5,0.04202325827288582,2411.033292978208,1205.516646489104,602.758323244552,2,1,11,nan,nan,nan,33841.354598383914,86282326.71666667,12.16,4.87,0.09,0.01,0.0,1.58,2.33,4.42,9.790000000000001,10.030000000000001,10.11,15.58,21.85,24.869999999999997,28.53,39.11,50.7,60.08,62.0,53.19,32.02,19.18,19.01,18.49,13
palais-royal,2411299.5,0.027946621188348446,1657.5416666666667,828.7708333333334,414.3854166666667,2,1,7,nan,nan,nan,33841.354598383914,86282326.71666667,9.3,2.52,0.09,0.0,0.0,1.09,1.31,2.67,5.65,7.03,8.41,14.38,23.02,26.46,31.31,40.91,55.839999999999996,70.75,67.08,42.629999999999995,27.29,21.240000000000002,20.44,20.58,40
concorde,1133739.6666666667,0.013139882868361137,1252.2751515151515,417.4250505050505,208.71252525252524,3,1,8,12,nan,nan,33841.354598383914,86282326.71666667,10.3,2.87,0.08,0.04,0.02,2.15,1.53,3.05,5.02,6.51,9.05,14.799999999999999,23.1,23.560000000000002,29.2,40.620000000000005,54.21,66.58,69.7,54.94,27.15,19.3,18.36,17.88,86
argentine,2079212.0,0.024097773890911663,713.7349033816425,713.7349033816425,356.86745169082127,1,1,nan,nan,nan,nan,33841.354598383914,86282326.71666667,6.64,2.5,0.16000000000000003,0.0,0.0,2.29,5.23,11.44,28.23,28.52,25.2,29.119999999999997,34.66,32.36,34.69,36.82,37.519999999999996,41.96,46.19,39.54,23.87,13.05,10.02,9.98,172
champs-elysees-clemenceau,954502.5,0.011062549380875981,636.1674757281553,318.08373786407765,159.04186893203882,2,1,13,nan,nan,nan,33841.354598383914,86282326.71666667,15.469999999999999,5.89,0.09,0.0,0.02,3.31,4.93,4.65,5.4,6.78,7.62,12.98,19.48,20.09,24.47,34.39,47.75,62.33,67.17999999999999,52.39,31.77,25.55,24.32,23.1,187
