Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
saint-germain des pres,2378860.0,0.025017023987757372,824.6503368034292,824.6503368034292,412.3251684017146,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,7.9,3.14,0.08,0.0,0.01,0.92,1.61,3.74,8.11,10.12,12.91,18.68,28.75,30.3,34.64,43.21,53.43,62.29,59.33,51.49,26.21,18.4,12.7,12.0,142
saint-sulpice,1571987.0,0.01653163132233202,514.7697489283527,514.7697489283527,257.38487446417633,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,3.8200000000000003,1.52,0.06,0.03,0.01,1.04,2.1,5.29,9.79,11.56,12.870000000000001,19.34,29.79,29.259999999999998,31.03,41.67,53.4,62.43,62.5,63.1,27.84,13.4,10.93,7.24,225
odeon,1739245.5,0.018290587253600072,1208.9926873857405,604.4963436928703,302.2481718464351,2,4,10,nan,nan,nan,31928.10954753746,95089647.8,14.77,4.859999999999999,0.12,0.0,0.01,1.06,1.99,4.46,9.27,9.77,10.969999999999999,16.310000000000002,24.37,26.33,30.66,41.1,47.989999999999995,54.42,55.2,48.15,28.24,24.63,23.24,22.04,80
alesia,3098136.0,0.032581212273666664,1044.1132307692308,1044.1132307692308,522.0566153846154,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,4.5,1.33,0.06,0.0,0.0,1.54,5.26,15.77,34.24,27.43,22.9,26.520000000000003,33.76,35.53,36.910000000000004,40.04,40.660000000000004,41.32,40.36,37.410000000000004,23.28,14.879999999999999,9.79,6.4399999999999995,100
saint-placide,2391205.0,0.025146848845516493,792.6656460502144,792.6656460502144,396.3328230251072,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,2.4699999999999998,1.09,0.08,0.01,0.0,0.78,1.96,4.91,11.129999999999999,12.42,14.07,21.5,33.28,32.59,36.28,44.64,56.1,62.25,60.85,50.8,29.43,11.09,7.54,4.72,141
simplon,2056501.0,0.021626970417698826,642.9134438305709,642.9134438305709,321.45672191528547,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,3.89,1.5100000000000002,0.11,0.0,0.01,3.2700000000000005,8.629999999999999,16.27,29.1,27.810000000000002,22.7,26.23,34.21,34.9,35.79,38.01,39.7,39.4,39.96,37.4,27.81,16.55,9.95,6.77,173
raspail,619178.5,0.006511523749696758,454.8451730418943,227.42258652094716,113.71129326047358,2,4,6,nan,nan,nan,31928.10954753746,95089647.8,9.24,3.58,0.24,0.03,0.02,1.32,3.6799999999999997,9.18,19.93,19.990000000000002,20.89,26.23,34.629999999999995,30.68,31.08,37.85,43.76,46.989999999999995,48.120000000000005,39.48,25.6,16.78,16.41,14.3,259
cite,1004657.0,0.010565366717027635,301.68684373069794,301.68684373069794,150.84342186534897,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,8.52,4.77,0.26,0.01,0.01,0.9,3.39,3.33,7.359999999999999,13.739999999999998,15.879999999999999,21.1,28.299999999999997,26.93,34.07,45.16,64.4,63.33,56.01,36.55,22.36,17.35,14.83,11.39,284
gare du nord,17251548.5,0.18142404456355554,8073.694444444445,4036.8472222222226,2018.4236111111113,2,4,5,nan,nan,nan,31928.10954753746,95089647.8,3.0,0.13,0.01,0.0,1.06,5.38,10.82,21.240000000000002,23.38,18.84,17.96,22.11,25.78,28.38,31.14,33.23,41.47,50.61,50.41,41.92,30.31,21.34,14.23,7.21,1
gare de l'est,5179490.333333333,0.05446955008422413,8118.102478295982,2706.034159431994,1353.017079715997,3,4,5,7,nan,nan,31928.10954753746,95089647.8,0.7,0.02,0.0,0.0,0.060000000000000005,2.8899999999999997,10.34,16.49,13.120000000000001,12.57,13.68,16.64,20.38,23.85,26.95,32.4,49.55,69.36,67.0,53.03,37.28,21.659999999999997,10.64,1.4,5
barbes-rochechouart,2695469.5,0.028346613562701618,1727.183525136281,863.5917625681406,431.7958812840703,2,2,4,nan,nan,nan,31928.10954753746,95089647.8,5.359999999999999,2.1,0.07,0.0,0.0,2.29,4.46,10.370000000000001,19.1,21.12,22.96,30.07,36.46,39.61,39.36,39.84,43.35,45.75,44.03,37.7,22.18,14.09,11.06,8.63,26
marcadet-poissonniers,1991002.5,0.020938162524143874,1335.0927835051546,667.5463917525773,333.77319587628864,2,4,12,nan,nan,nan,31928.10954753746,95089647.8,4.49,1.81,0.1,0.0,0.0,3.48,8.0,16.62,27.65,25.64,22.7,26.28,31.18,33.69,35.76,37.81,39.17,43.07,42.94,37.58,27.0,16.68,10.82,7.56,55
chateau d'eau,2687103.0,0.028258628170037246,844.5522755227553,844.5522755227553,422.27613776137764,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,5.19,2.26,0.18,0.0,0.0,1.46,4.2,8.6,15.71,15.03,15.7,20.84,28.689999999999998,33.28,37.43,41.83,45.980000000000004,50.230000000000004,50.18,43.129999999999995,32.44,22.72,15.1,9.81,129
denfert-rochereau,1271979.5,0.013376634885380236,894.8475241545893,447.42376207729467,223.71188103864733,2,4,6,nan,nan,nan,31928.10954753746,95089647.8,18.02,4.08,0.2,0.03,0.14,8.4,13.11,27.91,51.48,45.78,45.660000000000004,53.44,58.71,60.199999999999996,65.31,72.41,79.06,86.28,85.6,75.27,49.19,36.23,32.74,30.73,133
vavin,1322588.0,0.013908853703841356,481.2747524752475,481.2747524752475,240.63737623762376,1,4,nan,nan,nan,nan,31928.10954753746,95089647.8,8.48,2.7,0.08,0.01,0.0,0.9400000000000001,2.48,5.84,13.69,13.209999999999999,14.99,20.64,31.2,29.05,35.47,42.21,46.56,50.980000000000004,48.69,40.2,29.77,23.77,21.240000000000002,17.759999999999998,250
