Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
saint-lazare,6625676.8,0.11940022460555326,18616.056763285025,3723.211352657005,1861.6056763285026,5,3,9,12,13.0,14.0,17948.09024139458,55491326.1,8.620000000000001,0.1,0.01,0.01,0.12,3.15,9.6,20.07,20.19,15.33,13.56,16.27,20.32,22.21,23.72,29.05,39.08,57.36,63.81,51.34,34.47,21.65,16.09,13.86,2
mairie de saint-ouen,2415405.0,0.043527613588603714,846.1243811881188,423.0621905940594,211.5310952970297,2,13,14,nan,nan,nan,17948.09024139458,55491326.1,7.75,2.71,0.19,0.01,0.01,11.459999999999999,26.18,51.14,66.81,59.44,52.230000000000004,54.09,58.3,60.43,62.26,67.36,77.62,93.8,89.63,63.45,40.8,24.3,16.35,13.66,39
pont cardinet,4168538.0,0.07512053311697664,1497.1190476190477,1497.1190476190477,748.5595238095239,1,14,nan,nan,nan,nan,17948.09024139458,55491326.1,3.67,1.6400000000000001,0.11,0.0,0.0,2.92,7.24,16.72,38.78,34.62,24.25,26.84,29.65,29.869999999999997,32.76,35.56,37.629999999999995,43.22,45.32,37.99,23.12,14.08,7.68,6.32,50
pyramides,1981349.0,0.03570556227885857,1287.9782608695652,643.9891304347826,321.9945652173913,2,7,14,nan,nan,nan,17948.09024139458,55491326.1,6.84,2.0300000000000002,0.13,0.01,0.01,0.9500000000000001,1.94,3.7,7.640000000000001,8.03,8.84,13.05,20.11,25.950000000000003,31.18,40.239999999999995,48.26,63.2,67.67,51.92,33.49,24.3,22.48,18.009999999999998,56
clichy saint-ouen,3420852.0,0.061646607504663685,1180.7626911314985,1180.7626911314985,590.3813455657493,1,14,nan,nan,nan,nan,17948.09024139458,55491326.1,2.59,1.24,0.18,0.01,0.0,4.59,10.4,19.34,30.42,28.58,23.58,25.84,27.99,29.04,31.23,34.42,42.099999999999994,54.71,54.96,36.11,20.36,12.129999999999999,6.13,4.0600000000000005,84
bibliotheque,11104474.0,0.20011188739639796,2272.6271072151044,2272.6271072151044,1136.3135536075522,1,14,nan,nan,nan,nan,17948.09024139458,55491326.1,6.460000000000001,1.35,0.06,0.0,0.1,5.02,9.129999999999999,13.29,19.759999999999998,19.12,18.17,21.48,27.169999999999998,27.91,30.38,35.33,43.36,54.019999999999996,56.83,44.83,26.99,18.84,11.58,8.76,6
chatelet,1670158.8,0.030097655208135312,5877.878321256038,1175.5756642512076,587.7878321256038,5,1,4,7,11.0,14.0,17948.09024139458,55491326.1,30.17,10.6,0.27,0.04,0.36,7.1899999999999995,5.32,8.82,15.78,15.86,17.48,26.5,37.63,46.019999999999996,55.16,72.78999999999999,92.19,114.31,122.78,105.6,70.85,51.84,47.85,44.6,10
olympiades,5214595.0,0.09397135311927605,1895.4329685362518,1895.4329685362518,947.7164842681259,1,14,nan,nan,nan,nan,17948.09024139458,55491326.1,2.74,1.23,0.06,0.0,0.01,6.71,10.26,17.73,32.47,29.89,25.07,27.92,30.02,32.980000000000004,35.480000000000004,38.44,42.9,47.26,41.98,31.78,20.5,13.19,6.9,4.47,31
gare de lyon,9546825.0,0.172041752665918,5298.853444245003,1766.284481415001,883.1422407075005,3,1,14,,nan,nan,17948.09024139458,55491326.1,2.16,0.01,0.0,,0.33999999999999997,1.2000000000000002,10.05,22.63,19.75,17.93,27.47,24.869999999999997,23.83,25.509999999999998,27.259999999999998,34.76,45.22,57.989999999999995,60.21,38.73,27.6,17.4,10.239999999999998,4.8,3
bercy,1942106.0,0.03499837067328618,1407.7591050898232,703.8795525449116,351.9397762724558,2,6,14,nan,nan,nan,17948.09024139458,55491326.1,,,,,,6.98,10.94,2.7399999999999998,30.490000000000002,0.6599999999999999,33.56,0.43,18.94,14.51,28.84,2.37,109.81,104.32,67.22999999999999,40.18,13.57,0.11,14.23,0.09,61
madeleine,1776976.0,0.03202259028370922,1850.7910628019324,616.9303542673108,308.4651771336554,3,8,12,14,nan,nan,17948.09024139458,55491326.1,4.97,1.52,0.11,0.02,0.0,0.87,1.52,3.6,6.41,8.67,12.46,18.91,27.55,28.56,31.86,43.85,53.91,65.73,71.49,60.81,23.759999999999998,11.64,11.65,10.1,27
porte de clichy,2639248.5,0.047561460240540185,1929.6582125603866,964.8291062801933,482.41455314009664,2,13,14,nan,nan,nan,17948.09024139458,55491326.1,9.95,3.26,0.27,0.06,0.65,11.07,23.21,43.79,58.46,52.56,47.49,51.49,58.94,58.3,61.47,67.67,75.58,92.42999999999999,88.85000000000001,71.86,46.94,32.62,24.38,18.66,29
cour saint-emilion,2985122.0,0.05379438931808119,1084.3865944482059,1084.3865944482059,542.1932972241029,1,14,nan,nan,nan,nan,17948.09024139458,55491326.1,11.21,1.93,0.12,0.0,0.0,1.45,3.63,8.09,16.650000000000002,14.83,12.8,17.1,22.1,24.04,28.48,36.59,49.66,61.54,60.91,45.620000000000005,29.16,25.69,15.629999999999999,12.76,110
