Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
saint-denis-universite,3569990.0,0.04299151746202977,1306.0471869328494,1306.0471869328494,653.0235934664247,1,13,nan,nan,nan,nan,27942.80280397709,83039404.3,1.95,0.42000000000000004,0.01,0.0,0.0,18.07,35.339999999999996,48.73,45.31,35.71,29.7,29.01,28.689999999999998,28.240000000000002,28.65,30.33,28.9,31.509999999999998,27.77,18.64,13.6,8.89,6.17,4.359999999999999,74
les courtilles,2802689.0,0.03375131389279487,1071.2037598544573,1071.2037598544573,535.6018799272287,1,13,nan,nan,nan,nan,27942.80280397709,83039404.3,2.3899999999999997,0.58,0.02,0.0,0.0,11.629999999999999,20.740000000000002,38.1,47.37,38.53,31.619999999999997,28.9,28.29,30.17,30.009999999999998,30.03,31.759999999999998,35.24,31.759999999999998,23.7,16.18,10.77,7.34,4.88,122
porte de saint-ouen,2710638.0,0.03264279197147372,756.0749531542785,756.0749531542785,378.0374765771393,1,13,nan,nan,nan,nan,27942.80280397709,83039404.3,5.48,2.05,0.05,0.0,0.0,4.58,12.18,22.88,29.67,27.990000000000002,25.119999999999997,27.47,29.259999999999998,29.4,32.4,34.06,38.010000000000005,42.89,40.38,34.53,23.47,16.62,12.24,9.27,125
montparnasse-bienvenue,5101806.0,0.061438374263482046,8840.644430992736,2210.161107748184,1105.080553874092,4,4,6,12,13.0,nan,27942.80280397709,83039404.3,5.71,0.26,0.01,0.04,0.24,3.15,13.07,24.17,21.87,15.02,16.450000000000003,19.23,21.88,22.18,22.86,26.18,36.839999999999996,55.5,62.72,49.65,31.049999999999997,21.54,16.830000000000002,13.49,4
porte de clichy,2639248.5,0.031783085659731786,1929.6582125603866,964.8291062801933,482.41455314009664,2,13,14,nan,nan,nan,27942.80280397709,83039404.3,9.95,3.26,0.27,0.06,0.65,11.07,23.21,43.79,58.46,52.56,47.49,51.49,58.94,58.3,61.47,67.67,75.58,92.42999999999999,88.85000000000001,71.86,46.94,32.62,24.38,18.66,29
place clichy,2580966.0,0.031081220075659912,1680.3415961305925,840.1707980652963,420.0853990326481,2,2,13,nan,nan,nan,27942.80280397709,83039404.3,13.84,5.13,0.13,0.0,0.06,3.44,6.390000000000001,11.84,24.68,23.61,20.12,23.259999999999998,27.53,28.33,30.26,34.37,37.230000000000004,41.68,40.480000000000004,38.04,26.060000000000002,20.67,21.62,21.259999999999998,33
porte de vanves,3395358.0,0.040888515863305636,1143.1660628019324,1143.1660628019324,571.5830314009662,1,13,nan,nan,nan,nan,27942.80280397709,83039404.3,4.61,1.3,0.07,0.01,0.0,5.18,10.84,21.69,36.21,32.42,28.3,30.240000000000002,32.37,32.28,31.46,32.51,35.64,41.18,39.19,30.95,21.34,13.95,10.18,8.11,87
pernety,2173567.0,0.026175127559290547,692.3357619914997,692.3357619914997,346.16788099574984,1,13,nan,nan,nan,nan,27942.80280397709,83039404.3,5.99,1.92,0.09,0.01,0.0,3.69,8.9,21.05,42.71,36.5,28.96,29.52,30.310000000000002,31.1,33.18,33.91,33.31,34.66,34.29,31.53,21.05,13.67,12.71,10.959999999999999,162
carrefour pleyel,1535528.0,0.01849155847087405,557.9214850882532,557.9214850882532,278.9607425441266,1,13,nan,nan,nan,nan,27942.80280397709,83039404.3,3.4,1.46,0.1,0.0,0.05,4.69,12.42,20.57,26.5,28.0,27.41,27.48,30.05,31.130000000000003,30.52,33.97,48.79,57.68,45.3,28.87,16.22,10.19,8.39,6.779999999999999,230
gabriel peri,3790573.0,0.045647882856982396,1262.5094110503946,1262.5094110503946,631.2547055251973,1,13,nan,nan,nan,nan,27942.80280397709,83039404.3,3.24,0.79,0.02,0.0,0.0,7.05,15.01,29.43,43.35,35.769999999999996,28.76,29.080000000000002,29.67,30.43,31.64,31.95,34.54,38.88,38.49,29.48,18.4,11.34,7.23,5.4,64
