Station,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nombre_validations_totales_pour_la_ligne
buttes-chaumont,4.59,1.44,0.26,0.01,0.08,4.390000000000001,6.61,13.05,27.91,26.14,21.759999999999998,29.73,31.15,30.32,31.7,36.69,46.9,54.85,44.900000000000006,36.84,21.85,12.69,8.99,7.1899999999999995,132.02105263157893,66.01052631578946,4645.61052631579
louis blanc,6.6899999999999995,2.56,0.16999999999999998,0.01,0.04,3.96,6.43,15.33,29.32,29.61,27.92,28.42,30.46,33.02,33.15,35.46,37.9,41.3,39.22,32.5,23.03,17.66,13.64,12.2,666.3157894736843,333.15789473684214,4645.61052631579
place des fetes,3.49,1.2,0.060000000000000005,0.0,0.0,6.44,10.27,22.61,39.57,37.66,33.64,33.49,34.08,36.66,35.9,35.75,35.01,36.17,32.6,25.8,16.86,10.54,6.91,5.29,910.6736842105263,455.33684210526314,4645.61052631579
botzaris,9.15,1.83,0.16999999999999998,0.01,0.04,3.92,7.59,19.45,38.92,34.44,28.93,29.97,30.69,31.98,32.04,33.29,36.92,39.27,38.21,29.92,19.18,12.63,10.879999999999999,10.52,243.49473684210525,121.74736842105263,4645.61052631579
bolivar,3.9800000000000004,1.77,0.69,0.0,0.04,3.57,4.64,12.27,30.53,29.43,29.54,34.54,35.37,34.33,37.730000000000004,39.760000000000005,44.09,47.620000000000005,38.38,29.310000000000002,18.700000000000003,10.149999999999999,7.7,5.87,121.5578947368421,60.77894736842105,4645.61052631579
jaures,11.44,4.55,0.18,0.24,0.31,4.65,7.71,14.52,24.650000000000002,24.24,22.55,24.560000000000002,28.62,28.79,30.37,34.15,37.88,44.07,41.76,36.84,24.98,20.83,16.9,15.14,2296.4842105263156,1148.2421052631578,4645.61052631579
danube,2.99,1.4500000000000002,0.03,0.02,0.03,11.05,15.43,28.849999999999998,44.46,38.37,33.86,32.94,32.160000000000004,33.17,36.79,36.769999999999996,34.730000000000004,36.66,27.9,20.33,13.08,8.780000000000001,5.73,4.4,150.30526315789473,75.15263157894736,4645.61052631579
pre-saint-gervais,3.2,1.56,0.45999999999999996,0.01,0.92,11.02,13.75,24.450000000000003,38.44,37.12,30.75,31.79,32.84,31.61,33.12,33.5,37.76,38.32,34.38,27.369999999999997,15.75,9.84,7.35,4.6899999999999995,124.7578947368421,62.37894736842105,4645.61052631579
