Station,Trafic,Part du trafic de la station par rapport à toute la ligne,moyenne_NB_VALD_hebdo_période_jo_2022_dans_toute_la_station,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nb_correspondance,Correspondance_1,Correspondance_2,Correspondance_3,Correspondance_4,Correspondance_5,nombre_validations_totales_pour_la_ligne,fréquentation_totale_ligne,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,Rang
republique,2215941.6,0.031003578380603893,3676.321623258631,735.2643246517262,367.6321623258631,5,3,5,8,9.0,11.0,25738.812969468338,71473736.76666667,13.25,5.19,0.15,0.02,0.03,2.6,3.35,7.84,16.89,16.91,16.759999999999998,20.66,26.04,28.61,32.64,38.42,42.22,48.75,47.650000000000006,40.31,26.59,22.130000000000003,22.07,20.89,7
concorde,1133739.6666666667,0.015862325351308774,1252.2751515151515,417.4250505050505,208.71252525252524,3,1,8,12,nan,nan,25738.812969468338,71473736.76666667,10.3,2.87,0.08,0.04,0.02,2.15,1.53,3.05,5.02,6.51,9.05,14.799999999999999,23.1,23.560000000000002,29.2,40.620000000000005,54.21,66.58,69.7,54.94,27.15,19.3,18.36,17.88,86
creteil-prefecture,3330602.0,0.046598962789270296,1259.2604735883424,1259.2604735883424,629.6302367941712,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,1.56,0.16,0.0,0.0,0.0,3.5700000000000003,8.59,16.23,20.740000000000002,18.52,19.4,23.08,29.22,34.16,35.52,40.11,47.620000000000005,52.31,49.53,40.3,30.1,15.780000000000001,7.62,5.86,92
ecole militaire,2805976.0,0.03925884005701837,855.4684466019418,855.4684466019418,427.7342233009709,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,10.11,2.66,0.08,0.0,0.0,1.33,3.0700000000000003,8.6,18.35,18.990000000000002,17.69,23.080000000000002,28.77,30.35,33.25,39.91,45.74,49.519999999999996,46.94,40.29,26.02,17.71,18.31,19.22,121
ledru-rollin,2570283.0,0.035961223188749065,856.751210653753,856.751210653753,428.3756053268765,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,11.120000000000001,4.72,0.01,0.0,0.0,2.98,5.21,9.55,22.0,21.89,21.740000000000002,25.72,31.39,32.4,35.519999999999996,38.92,39.730000000000004,44.05,43.94,38.730000000000004,22.88,15.44,15.99,15.97,131
porte doree,1918182.0,0.026837578203894694,597.7801332525742,597.7801332525742,298.8900666262871,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,5.08,1.8399999999999999,0.11,0.0,0.0,2.76,6.52,14.17,26.07,25.06,22.38,26.94,31.490000000000002,30.39,32.03,38.25,45.86,51.31,44.739999999999995,34.8,25.59,14.42,11.76,8.36,186
saint-sebastien-froissart,1151192.0,0.016106503620458297,368.8863361547763,368.8863361547763,184.44316807738815,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,8.76,4.13,0.02,0.01,0.0,1.43,2.92,8.780000000000001,21.38,21.439999999999998,19.29,23.9,29.54,30.62,32.64,39.06,45.55,51.13,51.26,44.97,22.71,13.77,14.059999999999999,12.65,267
bastille,2689747.6666666665,0.03763267164060029,2603.2495457298605,867.7498485766201,433.87492428831007,3,1,5,8,nan,nan,25738.812969468338,71473736.76666667,18.39,8.33,0.4,0.06,0.03,4.99,4.52,6.83,15.09,15.35,14.22,18.7,23.56,25.23,28.96,34.84,41.19,49.12,48.68,39.54,24.82,22.5,28.78,25.919999999999998,11
reuilly-diderot,2290045.5,0.032040377397310124,1483.5278113663844,741.7639056831922,370.8819528415961,2,1,8,nan,nan,nan,25738.812969468338,71473736.76666667,6.07,2.04,0.09,0.0,0.0,3.31,6.73,14.94,30.11,27.5,24.810000000000002,27.85,30.560000000000002,32.92,35.43,38.44,40.0,42.48,40.96,36.5,23.43,15.030000000000001,11.42,9.370000000000001,44
grands boulevards,1868658.0,0.026144680333426883,1343.2668283808368,671.6334141904184,335.8167070952092,2,8,9,nan,nan,nan,25738.812969468338,71473736.76666667,20.11,9.61,0.12,0.0,0.03,4.12,3.56,5.7,11.629999999999999,12.06,12.2,15.56,22.09,24.19,28.05,34.34,37.75,50.15,56.03,41.76,28.29,23.759999999999998,29.259999999999998,29.63,66
liberte,1704609.0,0.02384944564413738,586.7818955042527,586.7818955042527,293.39094775212635,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,2.9699999999999998,1.14,0.16,0.0,0.0,4.1899999999999995,10.23,21.189999999999998,35.63,32.36,29.71,30.47,33.71,31.7,33.230000000000004,34.95,40.3,42.82,42.809999999999995,33.05,16.07,9.66,8.36,5.3,207
michel bizot,1403416.0,0.01963540824207352,465.7590799031477,465.7590799031477,232.87953995157386,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,3.39,1.47,0.05,0.01,0.0,1.67,6.359999999999999,17.25,36.33,36.230000000000004,32.22,34.17,33.76,34.91,37.37,37.67,37.5,37.22,36.18,31.740000000000002,20.29,10.9,7.84,5.48,246
la tour-maubourg,1361723.0,0.019052075092218616,450.4558645707376,450.4558645707376,225.2279322853688,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,7.3100000000000005,2.21,0.13,0.02,0.0,1.6800000000000002,3.44,10.17,22.36,22.52,20.979999999999997,24.69,30.439999999999998,30.75,33.46,39.21,45.53,49.76,49.4,38.31,23.22,13.63,13.17,17.6,247
felix faure,1161978.0,0.016257412198740863,398.8511287370348,398.8511287370348,199.4255643685174,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,4.8,1.4300000000000002,0.12,0.0,0.0,2.84,6.53,18.7,44.4,37.07,28.259999999999998,29.64,31.240000000000002,31.36,34.660000000000004,35.46,34.78,36.980000000000004,38.36,34.269999999999996,19.71,12.05,9.07,8.24,266
invalides,1741040.0,0.02435915734591859,841.3862180188858,420.6931090094429,210.34655450472144,2,8,13,nan,nan,nan,25738.812969468338,71473736.76666667,3.55,0.53,0.1,0.14,0.6,5.12,5.02,6.66,10.32,12.79,11.55,17.54,22.2,22.89,26.61,33.91,49.42,66.74,72.48,50.65,31.41,21.619999999999997,16.52,11.57,79
boucicaut,2288055.0,0.03201252800689,777.8913175470552,777.8913175470552,388.9456587735276,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,4.35,1.14,0.07,0.0,0.0,3.39,6.6,18.1,44.03,37.66,28.56,30.5,32.13,33.1,34.11,34.519999999999996,35.53,35.64,36.68,33.21,21.07,11.93,9.44,8.24,152
creteil-pointe du lac,2114438.0,0.02958342596390055,728.5355191256831,728.5355191256831,364.26775956284155,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,2.25,0.61,0.1,0.0,0.0,8.38,19.14,36.519999999999996,45.949999999999996,35.75,29.28,31.619999999999997,31.86,35.14,31.95,31.35,33.75,35.94,31.44,22.049999999999997,15.74,9.71,6.49,4.98,168
lourmel,1696432.0,0.023735039984521533,570.0006071645416,570.0006071645416,285.0003035822708,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,3.88,1.13,0.07,0.02,0.01,3.12,6.67,17.17,41.34,34.35,28.42,31.57,31.98,32.36,35.21,36.730000000000004,38.09,38.82,39.129999999999995,31.98,19.84,11.58,8.96,7.6,210
montgallet,1108395.0,0.015507724237484168,362.7308160779537,362.7308160779537,181.36540803897685,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,3.51,1.25,0.08,0.0,0.0,1.69,4.2299999999999995,12.2,25.009999999999998,24.23,24.98,30.599999999999998,35.77,34.36,35.71,41.19,46.269999999999996,51.03,45.4,35.78,19.83,10.969999999999999,9.59,6.33,274
opera,1731277.0,0.024222561717347046,2049.558645707376,683.186215235792,341.593107617896,3,3,7,8,nan,nan,25738.812969468338,71473736.76666667,12.37,2.36,0.04,0.0,0.0,1.29,1.49,2.58,4.46,5.6899999999999995,8.51,13.75,20.39,23.32,28.41,38.209999999999994,47.86,58.37,66.31,54.58,34.39,24.68,27.38,23.59,32
daumesnil,1817011.5,0.025422086240318175,1185.2586102719033,592.6293051359517,296.3146525679758,2,6,8,nan,nan,nan,25738.812969468338,71473736.76666667,5.0600000000000005,2.01,0.15,0.0,0.0,2.99,6.609999999999999,16.98,36.82,33.57,29.66,32.06,33.769999999999996,33.29,34.81,36.129999999999995,36.65,38.53,37.0,32.93,21.42,12.49,9.32,7.6899999999999995,70
balard,3236801.0,0.045286578629110556,1211.5230303030303,1211.5230303030303,605.7615151515151,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,3.6900000000000004,0.78,0.03,0.01,0.25,3.92,5.24,13.23,21.61,22.65,20.83,23.92,27.55,27.45,30.78,34.78,39.690000000000005,57.98,62.28,43.43,26.939999999999998,15.53,10.05,7.4,95
richelieu-drouot,1497255.0,0.020948324066054392,1071.918181818182,535.959090909091,267.9795454545455,2,8,9,nan,nan,nan,25738.812969468338,71473736.76666667,14.39,5.28,0.03,0.0,0.0,1.58,2.37,4.63,11.23,12.29,11.81,15.77,23.9,25.02,28.85,35.980000000000004,41.5,54.17,64.28,47.24,30.12,22.7,24.919999999999998,21.98,108
faidherbe-chaligny,2190416.0,0.030646445800795855,695.5542753183747,695.5542753183747,347.77713765918736,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,9.91,4.43,0.05,0.01,0.0,1.72,5.03,12.73,26.3,24.18,22.63,26.07,31.52,31.7,34.07,36.94,38.83,41.72,42.45,37.97,23.4,17.13,16.12,15.12,160
charenton-ecoles,2164023.0,0.03027717729471281,698.7362037598544,698.7362037598544,349.3681018799272,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,2.87,1.1600000000000001,0.12,0.01,0.0,2.86,8.379999999999999,22.92,42.92,35.9,31.57,32.53,34.49,34.85,36.480000000000004,35.45,35.64,36.629999999999995,36.09,29.490000000000002,16.97,10.14,7.67,4.88,164
maisons-alfort-stade,1702479.0,0.023819644487847572,1599.1129905277403,1599.1129905277403,799.5564952638701,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,1.6400000000000001,0.18,0.03,0.06,0.96,8.26,20.72,37.87,49.76,33.660000000000004,26.25,27.509999999999998,28.5,30.119999999999997,31.04,31.3,33.94,38.02,32.88,25.82,18.63,11.77,7.2700000000000005,3.88,208
creteil-l'echat,1660120.0,0.023226993229969656,567.7167277167277,567.7167277167277,283.8583638583639,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,1.23,0.47000000000000003,0.12000000000000001,0.0,0.0,2.73,7.94,18.78,24.56,27.19,29.0,32.44,40.29,35.41,37.34,38.21,48.26,52.01,39.01,29.36,16.85,10.57,5.4399999999999995,2.79,214
maisons-alfort-les juilliottes,1297495.0,0.018153451305278824,1599.1129905277403,1599.1129905277403,799.5564952638701,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,1.6400000000000001,0.18,0.03,0.06,0.96,8.26,20.72,37.87,49.76,33.660000000000004,26.25,27.509999999999998,28.5,30.119999999999997,31.04,31.3,33.94,38.02,32.88,25.82,18.63,11.77,7.2700000000000005,3.88,252
strasbourg-saint-denis,2115256.6666666665,0.029594880054643547,2023.3496376811595,674.4498792270532,337.2249396135266,3,4,8,9,nan,nan,25738.812969468338,71473736.76666667,13.39,5.52,0.09,0.03,0.0,2.08,3.55,7.47,14.809999999999999,15.81,15.45,19.28,24.2,28.14,31.46,36.67,40.17,46.48,49.51,42.83,31.75,24.29,25.9,21.06,16
madeleine,1776976.0,0.02486194342687189,1850.7910628019324,616.9303542673108,308.4651771336554,3,8,12,14,nan,nan,25738.812969468338,71473736.76666667,4.97,1.52,0.11,0.02,0.0,0.87,1.52,3.6,6.41,8.67,12.46,18.91,27.55,28.56,31.86,43.85,53.91,65.73,71.49,60.81,23.759999999999998,11.64,11.65,10.1,27
la motte-picquet-grenelle,1705902.6666666667,0.02386754553264454,1715.570995145631,571.856998381877,285.9284991909385,3,6,8,10,nan,nan,25738.812969468338,71473736.76666667,7.61,2.58,0.12,0.0,0.0,2.2600000000000002,4.19,11.42,29.55,26.95,23.58,26.509999999999998,30.98,32.16,33.61,36.51,38.559999999999995,41.22,42.93,39.35,26.05,16.5,14.71,12.64,34
bonne nouvelle,1403113.5,0.019631175918234243,925.0448484848484,462.5224242424242,231.2612121212121,2,8,9,nan,nan,nan,25738.812969468338,71473736.76666667,16.2,6.789999999999999,0.04,0.0,0.02,2.95,4.63,8.25,17.14,17.32,15.629999999999999,17.85,24.81,24.59,26.43,33.05,33.09,42.97,56.0,41.15,27.5,24.12,27.61,31.89,120
creteil-universite,2496595.0,0.0349302430926536,902.9702127659574,902.9702127659574,451.4851063829787,1,8,nan,nan,nan,nan,25738.812969468338,71473736.76666667,2.6900000000000004,0.66,0.11,0.0,0.0,4.859999999999999,11.620000000000001,25.57,37.769999999999996,35.79,31.55,32.43,37.17,36.85,36.22,34.94,37.96,39.56,33.89,24.12,15.41,9.31,6.33,5.2,135
