Station,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nombre_validations_totales_pour_la_ligne
oberkampf,13.629999999999999,6.07,0.21000000000000002,0.0,0.0,2.38,4.57,11.67,25.22,24.64,20.83,22.759999999999998,25.0,26.759999999999998,30.72,35.49,39.03,43.57,44.22,40.72,24.17,17.79,21.02,19.47,1279.4105263157894,639.7052631578947,131992.80000000002
saint-augustin,6.18,2.0700000000000003,0.07,0.0,0.0,1.3,2.95,8.45,18.19,21.48,19.82,23.84,31.35,28.33,31.400000000000002,36.4,43.82,53.629999999999995,60.63,46.65,26.35,14.64,13.01,9.440000000000001,834.1684210526315,417.08421052631576,131992.80000000002
saint-lazare,8.620000000000001,0.1,0.01,0.01,0.12,3.15,9.6,20.07,20.19,15.33,13.56,16.27,20.32,22.21,23.72,29.05,39.08,57.36,63.81,51.34,34.47,21.65,16.09,13.86,25432.673684210524,12716.336842105262,131992.80000000002
saint-lazare,8.06,1.8,0.14,0.04,0.08,8.17,21.66,48.06,74.66,62.94,45.01,48.03,56.71,56.68,59.72,65.15,72.11,85.45,92.97,77.22,51.260000000000005,27.6,21.59,14.81,25432.673684210524,12716.336842105262,131992.80000000002
franklin d. roosevelt,12.370000000000001,3.1799999999999997,0.04,0.0,0.0,2.0700000000000003,2.67,3.24,6.12,7.51,10.09,13.77,20.78,22.89,28.060000000000002,37.83,46.56,57.97,65.83,58.93,37.06,25.12,20.4,17.47,2646.378947368421,1323.1894736842105,131992.80000000002
mairie de montreuil,3.27,0.87,0.02,0.0,0.08,13.079999999999998,22.14,33.629999999999995,41.69,34.22,27.42,27.5,29.08,30.22,31.03,32.21,34.11,37.31,34.03,25.42,17.02,10.75,8.47,6.46,2922.157894736842,1461.078947368421,131992.80000000002
marcel sembat,4.87,1.45,0.1,0.0,0.0,2.8,5.82,15.830000000000002,33.36,27.67,23.71,27.32,31.810000000000002,30.68,33.2,35.57,36.91,48.43,47.84,39.129999999999995,21.259999999999998,12.05,11.23,8.99,1644.8736842105263,822.4368421052632,131992.80000000002
grands boulevards,20.11,9.61,0.12,0.0,0.03,4.12,3.56,5.7,11.629999999999999,12.06,12.2,15.56,22.09,24.19,28.05,34.34,37.75,50.15,56.03,41.76,28.29,23.759999999999998,29.259999999999998,29.63,1655.7473684210527,827.8736842105263,131992.80000000002
porte de saint-cloud,5.76,1.6300000000000001,0.11,0.01,0.06,3.8200000000000003,7.62,17.18,32.57,28.02,23.37,26.33,29.259999999999998,30.049999999999997,31.45,36.07,33.99,39.54,42.79,39.15,21.02,13.18,16.2,20.8,1514.1684210526314,757.0842105263157,131992.80000000002
maraichers,4.15,1.6,0.1,0.0,0.0,4.36,9.12,19.77,33.93,29.88,26.33,28.67,32.92,33.22,33.43,35.72,38.13,43.62,40.7,34.13,21.259999999999998,12.52,9.45,6.99,851.6526315789473,425.82631578947365,131992.80000000002
