Station,00:00-01:00,01:00-02:00,02:00-03:00,03:00-04:00,04:00-05:00,05:00-06:00,06:00-07:00,07:00-08:00,08:00-09:00,09:00-10:00,10:00-11:00,11:00-12:00,12:00-13:00,13:00-14:00,14:00-15:00,15:00-16:00,16:00-17:00,17:00-18:00,18:00-19:00,19:00-20:00,20:00-21:00,21:00-22:00,22:00-23:00,23:00-00:00,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne,moyenne_NB_VALD_hebdo_période_jo_2022_par_ligne_par_direction,nombre_validations_totales_pour_la_ligne
billancourt,3.73,1.27,0.13,0.02,0.02,4.72,8.09,20.55,38.07,29.09,24.78,27.82,30.38,29.990000000000002,31.96,33.81,35.6,45.79,52.02,35.2,18.26,10.629999999999999,9.58,8.48,820.7368421052631,410.36842105263156,131992.80000000002
ranelagh,4.98,1.52,0.06,0.0,0.0,2.14,6.01,17.39,33.84,29.73,27.14,29.14,37.15,32.32,32.8,34.84,38.67,46.21,40.63,35.1,20.16,11.95,9.85,8.3,630.5684210526316,315.2842105263158,131992.80000000002
michel-ange-auteuil,6.29,2.0,0.2,0.0,0.03,2.74,4.9,14.32,30.82,27.91,25.97,30.17,34.66,32.93,34.92,37.63,40.86,43.35,40.46,35.29,21.5,11.78,11.57,9.71,579.9263157894736,289.9631578947368,131992.80000000002
michel-ange-molitor,6.789999999999999,2.73,0.08,0.01,0.01,2.75,4.65,14.95,31.659999999999997,28.71,26.0,29.53,37.4,31.810000000000002,32.38,37.019999999999996,39.89,42.74,38.67,35.84,19.83,11.89,10.72,13.92,516.2631578947369,258.13157894736844,131992.80000000002
havre-caumartin,5.18,0.96,0.01,0.0,0.01,1.46,2.11,5.32,10.89,11.27,11.9,18.11,26.509999999999998,28.89,31.14,39.81,48.67,58.71,67.87,56.040000000000006,36.84,14.16,13.23,10.93,1752.2736842105264,876.1368421052632,131992.80000000002
trocadero,15.12,3.97,0.08,0.0,0.0,1.67,2.5700000000000003,6.37,14.71,13.75,13.42,17.98,25.83,25.85,27.12,33.53,42.58,50.1,51.67,43.26,31.66,26.45,26.91,25.369999999999997,2413.3263157894735,1206.6631578947367,131992.80000000002
croix de chavaux,5.72,1.71,0.03,0.0,0.0,6.960000000000001,14.57,23.44,33.760000000000005,32.74,28.32,30.33,32.65,33.69,33.76,34.51,35.82,40.05,35.94,29.13,18.23,11.17,9.17,8.34,1618.1473684210528,809.0736842105264,131992.80000000002
miromesnil,8.08,2.75,0.05,0.01,0.05,1.5,4.3,9.05,13.77,15.64,15.96,21.68,29.35,26.47,30.14,37.129999999999995,44.97,60.25,65.41,47.45,26.32,13.69,14.06,11.9,1720.757894736842,860.378947368421,131992.80000000002
voltaire,7.63,2.6799999999999997,0.04,0.0,0.0,3.15,6.21,14.06,30.490000000000002,28.689999999999998,23.48,27.35,30.55,32.09,33.34,37.17,38.62,41.96,42.67,36.09,23.38,14.809999999999999,13.42,12.09,1437.0421052631577,718.5210526315789,131992.80000000002
robespierre,4.640000000000001,1.45,0.16,0.0,0.0,5.04,11.42,17.9,25.69,26.95,24.060000000000002,27.03,30.490000000000002,34.5,34.760000000000005,37.59,40.870000000000005,47.480000000000004,44.51,33.48,20.8,12.73,10.129999999999999,8.29,1348.778947368421,674.3894736842105,131992.80000000002
rue de la pompe,5.78,1.7200000000000002,0.05,0.0,0.0,2.27,4.91,12.02,28.22,28.92,26.14,29.52,38.69,34.25,32.39,36.2,40.23,43.74,41.11,37.06,22.410000000000004,13.37,11.35,9.629999999999999,861.5473684210526,430.7736842105263,131992.80000000002
rue des boulets,0.7,0.02,0.0,0.0,0.060000000000000005,2.8899999999999997,10.34,16.49,13.120000000000001,12.57,13.68,16.64,20.38,23.85,26.95,32.4,49.55,69.36,67.0,53.03,37.28,21.659999999999997,10.64,1.4,17799.757894736842,8899.878947368421,131992.80000000002
rue des boulets,4.17,1.42,0.05,0.0,0.0,5.300000000000001,16.12,33.84,44.57,33.59,25.41,25.020000000000003,27.419999999999998,27.62,26.7,30.16,31.14,34.69,35.97,31.16,23.849999999999998,17.15,16.45,8.190000000000001,17799.757894736842,8899.878947368421,131992.80000000002
jasmin,3.96,1.13,0.03,0.0,0.0,2.21,6.25,20.09,37.83,34.02,28.04,30.1,34.39,33.38,34.84,35.97,36.57,39.54,39.69,36.04,20.2,10.66,8.49,6.53,601.8105263157895,300.90526315789475,131992.80000000002
richelieu-drouot,14.39,5.28,0.03,0.0,0.0,1.58,2.37,4.63,11.23,12.29,11.81,15.77,23.9,25.02,28.85,35.980000000000004,41.5,54.17,64.28,47.24,30.12,22.7,24.919999999999998,21.98,1345.2631578947369,672.6315789473684,131992.80000000002
saint-ambroise,8.85,3.6100000000000003,0.11,0.01,0.01,2.48,4.75,12.639999999999999,29.29,29.07,23.95,26.68,29.97,30.65,31.509999999999998,36.15,38.75,44.02,45.65,38.47,22.86,14.44,14.07,12.04,784.1894736842105,392.09473684210525,131992.80000000002
iena,12.49,3.11,0.08,0.0,0.0,4.08,4.82,6.41,11.85,13.15,13.15,19.25,28.13,27.29,29.19,37.67,50.55,62.85,55.53,39.44,25.240000000000002,17.23,17.02,21.439999999999998,732.4315789473684,366.2157894736842,131992.80000000002
exelmans,4.5,1.38,0.12,0.0,0.0,2.86,6.83,18.73,38.59,32.71,28.78,30.53,33.96,32.73,33.29,36.15,37.87,39.52,37.13,34.01,18.869999999999997,11.1,9.57,10.78,581.6,290.8,131992.80000000002
buzenval,5.43,2.05,0.18,0.0,0.0,3.0700000000000003,8.19,19.12,36.71,34.71,27.42,29.97,32.19,33.93,33.62,34.96,35.68,37.08,37.45,32.94,22.13,14.05,10.34,8.77,610.7684210526315,305.38421052631577,131992.80000000002
strasbourg-saint-denis,13.39,5.52,0.09,0.03,0.0,2.08,3.55,7.47,14.809999999999999,15.81,15.45,19.28,24.2,28.14,31.46,36.67,40.17,46.48,49.51,42.83,31.75,24.29,25.9,21.06,2887.9473684210525,1443.9736842105262,131992.80000000002
chaussee d'antin-la fayette,4.78,1.2,0.02,0.0,0.0,1.15,1.65,3.02,6.18,7.94,9.43,15.66,24.49,27.4,31.810000000000002,42.29,52.55,63.2,71.17,56.22,42.81,14.34,12.59,10.04,2276.2,1138.1,131992.80000000002
pont de sevres,6.16,1.63,0.07,0.02,0.01,3.6500000000000004,8.61,21.29,37.36,32.7,26.450000000000003,27.380000000000003,28.65,28.28,29.56,32.04,35.12,44.31,50.53,32.84,18.85,11.44,10.86,12.21,1698.6,849.3,131992.80000000002
porte de montreuil,3.56,1.13,0.1,0.0,0.06,5.22,9.17,16.1,23.310000000000002,23.98,25.37,31.4,38.17,39.34,37.44,39.86,43.58,46.64,39.31,29.1,19.64,12.16,9.01,6.29,1508.621052631579,754.3105263157895,131992.80000000002
la muette,6.32,1.93,0.07,0.0,0.0,1.81,3.9,10.05,22.92,23.11,22.55,27.47,34.69,34.44,34.21,38.120000000000005,44.12,48.7,46.29,43.0,23.14,11.93,10.64,10.55,853.9368421052632,426.9684210526316,131992.80000000002
bonne nouvelle,16.2,6.789999999999999,0.04,0.0,0.02,2.95,4.63,8.25,17.14,17.32,15.629999999999999,17.85,24.81,24.59,26.43,33.05,33.09,42.97,56.0,41.15,27.5,24.12,27.61,31.89,1127.2105263157896,563.6052631578948,131992.80000000002
charonne,6.93,2.51,0.05,0.0,0.0,3.19,7.1899999999999995,16.19,34.67,31.76,25.38,27.54,30.27,30.47,33.08,35.01,37.35,39.69,40.49,36.6,22.33,14.16,13.24,11.85,1094.7684210526315,547.3842105263158,131992.80000000002
alma-marceau,16.63,3.51,0.04,0.0,0.0,1.88,3.4899999999999998,7.21,14.59,14.38,11.91,16.09,25.36,24.28,26.86,35.8,46.61,55.32,54.01,42.93,27.52,20.93,24.1,26.52,1378.3684210526314,689.1842105263157,131992.80000000002
saint-philippe-du-roule,11.25,3.8600000000000003,0.06,0.0,0.0,2.62,4.15,8.46,12.38,14.1,15.36,20.29,26.69,25.92,30.18,37.62,42.67,53.3,58.9,48.27,30.77,20.310000000000002,16.75,16.07,998.2947368421053,499.14736842105265,131992.80000000002
